Nome do Produto,Classifica√ß√£o do Produto,PreÁo do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Batom matte,Eletrodom√©sticos,45.71,45,Filial 5,2023-04-14 03:29:53.201930
Sombra de olhos,Roupas,57.13,92,Filial 7,2023-04-19 03:29:53.201930
Base l√≠quida,Roupas,28.26,68,Filial 9,2023-01-10 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,71.63,8,Filial 3,2023-06-20 03:29:53.201930
Batom l√≠quido,Roupas,34.7,25,Filial 7,2023-07-22 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,47.62,12,Filial 5,2023-03-26 03:29:53.201930
Corretivo,Eletr√¥nicos,64.54,32,Filial 8,2023-05-22 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,52.56,80,Filial 9,2022-11-27 03:29:53.201930
Batom matte,Eletrodom√©sticos,70.12,68,Filial 2,2022-09-16 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,68.72,89,Filial 1,2023-04-05 03:29:53.201930
Corretivo,Alimentos,51.03,11,Filial 6,2022-09-02 03:29:53.201930
L√°pis de sobrancelha,Roupas,59.84,77,Filial 7,2022-11-22 03:29:53.201930
Corretivo,Alimentos,5.66,24,Filial 7,2022-10-01 03:29:53.201930
Batom matte,Eletr√¥nicos,72.24,51,Filial 1,2023-05-17 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,40.62,24,Filial 2,2023-01-08 03:29:53.201930
L√°pis de sobrancelha,Eletrodom√©sticos,56.15,16,Filial 6,2023-03-29 03:29:53.201930
M√°scara de c√≠lios,Alimentos,25.71,29,Filial 1,2023-07-25 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,80.74,75,Filial 10,2022-11-26 03:29:53.201930
Batom matte,Eletrodom√©sticos,51.6,56,Filial 8,2023-08-06 03:29:53.201930
Batom matte,Eletrodom√©sticos,68.61,15,Filial 9,2022-10-06 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,70.72,5,Filial 9,2023-05-09 03:29:53.201930
Batom l√≠quido,Eletrodom√©sticos,66.36,72,Filial 9,2022-11-14 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,8.72,15,Filial 8,2023-02-06 03:29:53.201930
L√°pis de sobrancelha,Roupas,5.74,100,Filial 3,2023-07-11 03:29:53.201930
P√≥ compacto,Alimentos,84.65,43,Filial 9,2023-07-12 03:29:53.201930
Batom matte,Roupas,12.11,68,Filial 10,2023-03-07 03:29:53.201930
Corretivo,Alimentos,92.59,53,Filial 9,2023-06-04 03:29:53.201930
Base l√≠quida,Roupas,76.57,17,Filial 3,2022-11-25 03:29:53.201930
L√°pis de sobrancelha,Alimentos,46.72,49,Filial 7,2023-06-09 03:29:53.201930
Corretivo,Roupas,61.03,5,Filial 5,2022-10-16 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,63.08,48,Filial 9,2022-09-05 03:29:53.201930
Blush em p√≥,Alimentos,16.66,98,Filial 1,2023-06-13 03:29:53.201930
Corretivo,Eletr√¥nicos,70.9,89,Filial 8,2023-03-31 03:29:53.201930
Corretivo,Roupas,21.44,83,Filial 1,2022-12-31 03:29:53.201930
Base l√≠quida,Roupas,98.62,43,Filial 5,2022-12-19 03:29:53.201930
Corretivo,Eletr√¥nicos,31.93,7,Filial 9,2022-12-31 03:29:53.201930
Sombra de olhos,Roupas,44.12,25,Filial 9,2023-02-05 03:29:53.201930
Delineador l√≠quido,Alimentos,86.35,81,Filial 2,2022-09-30 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,48.2,26,Filial 2,2022-10-01 03:29:53.201930
Sombra de olhos,Roupas,52.31,10,Filial 4,2022-11-08 03:29:53.201930
Sombra de olhos,Eletrodom√©sticos,47.53,71,Filial 5,2023-08-11 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,14.07,35,Filial 4,2022-12-31 03:29:53.201930
Corretivo,Eletr√¥nicos,70.49,69,Filial 5,2023-06-28 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,74.76,8,Filial 3,2023-02-25 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,13.17,54,Filial 2,2023-08-13 03:29:53.201930
M√°scara de c√≠lios,Roupas,67.82,40,Filial 6,2022-09-16 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,8.03,97,Filial 9,2023-05-13 03:29:53.201930
Delineador l√≠quido,Eletrodom√©sticos,36.26,86,Filial 7,2023-01-08 03:29:53.201930
Blush em p√≥,Roupas,91.4,36,Filial 3,2023-07-16 03:29:53.201930
Batom l√≠quido,Alimentos,10.16,38,Filial 7,2022-08-27 03:29:53.201930
Batom l√≠quido,Eletr√¥nicos,38.36,20,Filial 1,2023-01-11 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,57.95,4,Filial 7,2023-04-18 03:29:53.201930
Batom matte,Eletr√¥nicos,30.22,79,Filial 3,2022-08-25 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,2.61,64,Filial 9,2023-02-10 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,34.51,3,Filial 1,2023-04-04 03:29:53.201930
Base l√≠quida,Eletr√¥nicos,26.82,59,Filial 6,2023-01-26 03:29:53.201930
P√≥ compacto,Eletr√¥nicos,25.6,93,Filial 5,2022-12-13 03:29:53.201930
Batom matte,Roupas,43.13,72,Filial 5,2023-06-12 03:29:53.201930
L√°pis de sobrancelha,Alimentos,54.56,14,Filial 7,2022-09-15 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,90.08,95,Filial 5,2023-03-25 03:29:53.201930
Batom matte,Roupas,56.43,35,Filial 6,2023-06-11 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,21.83,85,Filial 7,2023-07-13 03:29:53.201930
Batom matte,Eletr√¥nicos,25.6,53,Filial 4,2022-11-15 03:29:53.201930
M√°scara de c√≠lios,Alimentos,28.19,97,Filial 2,2023-06-28 03:29:53.201930
Corretivo,Eletrodom√©sticos,41.35,6,Filial 3,2023-01-17 03:29:53.201930
Corretivo,Roupas,45.56,94,Filial 5,2023-03-10 03:29:53.201930
M√°scara de c√≠lios,Alimentos,55.78,55,Filial 5,2023-05-15 03:29:53.201930
L√°pis de sobrancelha,Alimentos,17.57,64,Filial 3,2023-06-28 03:29:53.201930
P√≥ compacto,Roupas,49.59,26,Filial 8,2023-08-13 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,52.93,13,Filial 5,2023-02-06 03:29:53.201930
Blush em p√≥,Alimentos,76.01,77,Filial 5,2023-04-21 03:29:53.201930
Batom matte,Roupas,69.77,48,Filial 10,2023-07-26 03:29:53.201930
L√°pis de sobrancelha,Alimentos,61.5,16,Filial 1,2023-08-03 03:29:53.201930
Base l√≠quida,Alimentos,86.81,36,Filial 8,2023-07-20 03:29:53.201930
Batom l√≠quido,Alimentos,69.27,38,Filial 8,2022-10-14 03:29:53.201930
Base l√≠quida,Eletrodom√©sticos,93.4,85,Filial 10,2022-12-06 03:29:53.201930
Sombra de olhos,Roupas,83.98,72,Filial 6,2023-01-05 03:29:53.201930
Blush em p√≥,Eletrodom√©sticos,24.28,47,Filial 5,2023-05-18 03:29:53.201930
Delineador l√≠quido,Roupas,44.58,93,Filial 7,2023-06-26 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,18.94,93,Filial 7,2022-11-28 03:29:53.201930
Base l√≠quida,Roupas,35.37,91,Filial 2,2023-05-14 03:29:53.201930
M√°scara de c√≠lios,Eletrodom√©sticos,65.01,14,Filial 8,2022-11-27 03:29:53.201930
Batom matte,Roupas,95.57,60,Filial 10,2023-03-11 03:29:53.201930
Corretivo,Eletrodom√©sticos,70.9,42,Filial 4,2023-04-14 03:29:53.201930
Delineador l√≠quido,Eletr√¥nicos,4.47,77,Filial 5,2023-07-22 03:29:53.201930
L√°pis de sobrancelha,Alimentos,99.83,99,Filial 9,2022-12-20 03:29:53.201930
Batom matte,Eletr√¥nicos,35.62,62,Filial 7,2023-06-22 03:29:53.201930
M√°scara de c√≠lios,Eletr√¥nicos,70.24,79,Filial 10,2023-01-13 03:29:53.201930
P√≥ compacto,Eletrodom√©sticos,92.26,29,Filial 7,2023-05-10 03:29:53.201930
L√°pis de sobrancelha,Eletr√¥nicos,2.26,97,Filial 7,2022-12-26 03:29:53.201930
P√≥ compacto,Alimentos,81.5,81,Filial 9,2023-02-04 03:29:53.201930
Corretivo,Indisponivel,73.3,47,Filial 10,Indisponivel
L·pis de sobrancelha,Indisponivel,66.3,69,Filial 3,Indisponivel
Delineador lÌquido,Indisponivel,19.04,82,Filial 2,Indisponivel
Batom matte,Indisponivel,66.95,7,Filial 4,Indisponivel
L·pis de sobrancelha,Indisponivel,43.7,35,Filial 1,Indisponivel
Batom lÌquido,Indisponivel,34.92,84,Filial 1,Indisponivel
Corretivo,Indisponivel,93.46,63,Filial 8,Indisponivel
Delineador lÌquido,Indisponivel,43.42,77,Filial 3,Indisponivel
PÛ compacto,Indisponivel,97.86,40,Filial 3,Indisponivel
Batom lÌquido,Indisponivel,90.16,61,Filial 9,Indisponivel
Sombra de olhos,Indisponivel,80.15,67,Filial 10,Indisponivel
Batom lÌquido,Indisponivel,88.84,45,Filial 5,Indisponivel
Sombra de olhos,Indisponivel,3.24,10,Filial 4,Indisponivel
Batom matte,Indisponivel,49.03,62,Filial 8,Indisponivel
Batom lÌquido,Indisponivel,65.79,52,Filial 4,Indisponivel
Delineador lÌquido,Indisponivel,1.43,60,Filial 10,Indisponivel
Delineador lÌquido,Indisponivel,6.23,32,Filial 9,Indisponivel
L·pis de sobrancelha,Indisponivel,35.71,75,Filial 4,Indisponivel
Blush em pÛ,Indisponivel,7.39,68,Filial 4,Indisponivel
M·scara de cÌlios,Indisponivel,79.55,47,Filial 1,Indisponivel
PÛ compacto,Indisponivel,21.11,100,Filial 7,Indisponivel
Delineador lÌquido,Indisponivel,36.43,57,Filial 8,Indisponivel
M·scara de cÌlios,Indisponivel,66.67,39,Filial 2,Indisponivel
L·pis de sobrancelha,Indisponivel,85.43,10,Filial 2,Indisponivel
Delineador lÌquido,Indisponivel,19.78,27,Filial 4,Indisponivel
M·scara de cÌlios,Indisponivel,33.24,42,Filial 4,Indisponivel
M·scara de cÌlios,Indisponivel,89.75,6,Filial 3,Indisponivel
M·scara de cÌlios,Indisponivel,88.76,42,Filial 10,Indisponivel
Sombra de olhos,Indisponivel,48.69,29,Filial 2,Indisponivel
Sombra de olhos,Indisponivel,51.01,9,Filial 7,Indisponivel
Corretivo,Indisponivel,62.04,64,Filial 1,Indisponivel
Delineador lÌquido,Indisponivel,4.07,65,Filial 4,Indisponivel
L·pis de sobrancelha,Indisponivel,41.32,41,Filial 3,Indisponivel
M·scara de cÌlios,Indisponivel,97.09,84,Filial 3,Indisponivel
Batom lÌquido,Indisponivel,91.06,61,Filial 5,Indisponivel
Delineador lÌquido,Indisponivel,51.95,53,Filial 8,Indisponivel
Delineador lÌquido,Indisponivel,92.9,8,Filial 5,Indisponivel
Corretivo,Indisponivel,90.96,28,Filial 5,Indisponivel
PÛ compacto,Indisponivel,68.54,56,Filial 3,Indisponivel
Batom matte,Indisponivel,76.29,92,Filial 5,Indisponivel
PÛ compacto,Indisponivel,38.24,51,Filial 2,Indisponivel
Batom matte,Indisponivel,47.62,19,Filial 10,Indisponivel
Batom matte,Indisponivel,38.27,5,Filial 9,Indisponivel
PÛ compacto,Indisponivel,95.42,40,Filial 4,Indisponivel
PÛ compacto,Indisponivel,30.51,49,Filial 2,Indisponivel
Base lÌquida,Indisponivel,84.14,96,Filial 10,Indisponivel
Corretivo,Indisponivel,23.67,71,Filial 8,Indisponivel
Blush em pÛ,Indisponivel,92.98,35,Filial 9,Indisponivel
Corretivo,Indisponivel,76.92,20,Filial 2,Indisponivel
L·pis de sobrancelha,Indisponivel,64.84,89,Filial 3,Indisponivel
Base lÌquida,Indisponivel,59.45,50,Filial 10,Indisponivel
Batom matte,Indisponivel,19.52,83,Filial 3,Indisponivel
Sombra de olhos,Indisponivel,68.53,59,Filial 4,Indisponivel
PÛ compacto,Indisponivel,29.04,99,Filial 10,Indisponivel
Blush em pÛ,Indisponivel,23.27,2,Filial 4,Indisponivel
L·pis de sobrancelha,Indisponivel,20.56,71,Filial 9,Indisponivel
L·pis de sobrancelha,Indisponivel,68.0,64,Filial 2,Indisponivel
PÛ compacto,Indisponivel,78.14,47,Filial 1,Indisponivel
Corretivo,Indisponivel,57.62,70,Filial 8,Indisponivel
Blush em pÛ,Indisponivel,90.43,62,Filial 1,Indisponivel
Blush em pÛ,Indisponivel,70.99,66,Filial 9,Indisponivel
PÛ compacto,Indisponivel,2.36,39,Filial 3,Indisponivel
PÛ compacto,Indisponivel,17.01,19,Filial 3,Indisponivel
M·scara de cÌlios,Indisponivel,18.69,35,Filial 5,Indisponivel
Delineador lÌquido,Indisponivel,56.76,71,Filial 3,Indisponivel
Base lÌquida,Indisponivel,12.84,92,Filial 5,Indisponivel
M·scara de cÌlios,Indisponivel,63.01,40,Filial 6,Indisponivel
L·pis de sobrancelha,Indisponivel,79.8,87,Filial 5,Indisponivel
Batom lÌquido,Indisponivel,12.02,46,Filial 6,Indisponivel
Batom lÌquido,Indisponivel,94.15,57,Filial 7,Indisponivel
Sombra de olhos,Indisponivel,84.86,29,Filial 7,Indisponivel
L·pis de sobrancelha,Indisponivel,38.04,6,Filial 8,Indisponivel
Delineador lÌquido,Indisponivel,5.27,58,Filial 6,Indisponivel
PÛ compacto,Indisponivel,5.93,88,Filial 1,Indisponivel
Corretivo,Indisponivel,10.47,71,Filial 7,Indisponivel
PÛ compacto,Indisponivel,45.75,64,Filial 6,Indisponivel
Delineador lÌquido,Indisponivel,13.29,24,Filial 10,Indisponivel
Sombra de olhos,Indisponivel,54.63,98,Filial 6,Indisponivel
Blush em pÛ,Indisponivel,83.75,75,Filial 9,Indisponivel
Batom matte,Indisponivel,35.09,40,Filial 2,Indisponivel
Blush em pÛ,Indisponivel,33.57,70,Filial 10,Indisponivel
Sombra de olhos,Indisponivel,95.48,77,Filial 10,Indisponivel
Batom lÌquido,Indisponivel,19.43,34,Filial 3,Indisponivel
L·pis de sobrancelha,Indisponivel,20.27,53,Filial 5,Indisponivel
L·pis de sobrancelha,Indisponivel,6.38,7,Filial 3,Indisponivel
Sombra de olhos,Indisponivel,51.54,48,Filial 10,Indisponivel
Blush em pÛ,Indisponivel,70.12,77,Filial 1,Indisponivel
M·scara de cÌlios,Indisponivel,39.8,77,Filial 1,Indisponivel
Corretivo,Indisponivel,45.66,56,Filial 5,Indisponivel
Base lÌquida,Indisponivel,73.56,93,Filial 9,Indisponivel
Batom matte,Indisponivel,42.93,1,Filial 3,Indisponivel
Sombra de olhos,Indisponivel,42.09,80,Filial 3,Indisponivel
L·pis de sobrancelha,Indisponivel,17.91,13,Filial 2,Indisponivel
M·scara de cÌlios,Indisponivel,73.05,43,Filial 3,Indisponivel
Batom matte,Indisponivel,24.66,92,Filial 4,Indisponivel
M·scara de cÌlios,Indisponivel,83.44,17,Filial 9,Indisponivel
Base lÌquida,Indisponivel,55.09,11,Filial 10,Indisponivel
M·scara de cÌlios,Indisponivel,35.68,98,Filial 5,Indisponivel
Blush em pÛ,Indisponivel,18.49,69,Filial 4,Indisponivel
Corretivo,Indisponivel,74.93,97,Filial 9,Indisponivel
Base lÌquida,Indisponivel,12.17,41,Filial 1,Indisponivel
Blush em pÛ,Indisponivel,56.68,70,Filial 2,Indisponivel
Batom matte,Indisponivel,4.79,24,Filial 9,Indisponivel
Batom matte,Indisponivel,95.43,85,Filial 6,Indisponivel
Batom lÌquido,Indisponivel,28.4,60,Filial 3,Indisponivel
PÛ compacto,Indisponivel,34.85,82,Filial 4,Indisponivel
Sombra de olhos,Indisponivel,75.75,19,Filial 2,Indisponivel
Batom lÌquido,Indisponivel,66.03,57,Filial 2,Indisponivel
Corretivo,Indisponivel,52.56,33,Filial 2,Indisponivel
Sombra de olhos,Indisponivel,50.14,90,Filial 5,Indisponivel
L·pis de sobrancelha,Indisponivel,12.08,37,Filial 6,Indisponivel
PÛ compacto,Indisponivel,40.56,14,Filial 10,Indisponivel
Delineador lÌquido,Indisponivel,73.87,77,Filial 4,Indisponivel
L·pis de sobrancelha,Indisponivel,8.84,78,Filial 10,Indisponivel
L·pis de sobrancelha,Indisponivel,72.25,27,Filial 3,Indisponivel
Sombra de olhos,Indisponivel,24.37,59,Filial 7,Indisponivel
Corretivo,Indisponivel,68.45,62,Filial 2,Indisponivel
Corretivo,Indisponivel,42.17,48,Filial 6,Indisponivel
Base lÌquida,Indisponivel,20.51,25,Filial 1,Indisponivel
Corretivo,Indisponivel,62.33,14,Filial 2,Indisponivel
Batom matte,Indisponivel,49.05,66,Filial 5,Indisponivel
Batom matte,Indisponivel,27.23,44,Filial 9,Indisponivel
Batom lÌquido,Indisponivel,49.62,37,Filial 8,Indisponivel
Corretivo,Indisponivel,35.41,37,Filial 5,Indisponivel
Base lÌquida,Indisponivel,25.37,43,Filial 2,Indisponivel
Batom lÌquido,Indisponivel,7.57,43,Filial 1,Indisponivel
Batom lÌquido,Indisponivel,96.47,6,Filial 1,Indisponivel
Corretivo,Indisponivel,26.2,77,Filial 1,Indisponivel
Sombra de olhos,Indisponivel,7.26,43,Filial 5,Indisponivel
Sombra de olhos,Indisponivel,26.13,57,Filial 1,Indisponivel
Base lÌquida,Indisponivel,7.51,70,Filial 9,Indisponivel
L·pis de sobrancelha,Indisponivel,50.39,79,Filial 7,Indisponivel
Delineador lÌquido,Indisponivel,70.26,80,Filial 7,Indisponivel
Batom lÌquido,Indisponivel,62.85,69,Filial 5,Indisponivel
Sombra de olhos,Indisponivel,82.8,20,Filial 1,Indisponivel
Delineador lÌquido,Indisponivel,13.28,95,Filial 3,Indisponivel
M·scara de cÌlios,Indisponivel,39.44,63,Filial 10,Indisponivel
Batom lÌquido,Indisponivel,99.89,57,Filial 1,Indisponivel
Base lÌquida,Indisponivel,21.47,81,Filial 8,Indisponivel
L·pis de sobrancelha,Indisponivel,68.0,33,Filial 3,Indisponivel
L·pis de sobrancelha,Indisponivel,51.61,10,Filial 5,Indisponivel
Batom matte,Indisponivel,82.26,97,Filial 7,Indisponivel
M·scara de cÌlios,Indisponivel,78.62,61,Filial 3,Indisponivel
Batom lÌquido,Indisponivel,66.23,78,Filial 8,Indisponivel
Blush em pÛ,Indisponivel,30.7,19,Filial 9,Indisponivel
PÛ compacto,Indisponivel,84.3,11,Filial 1,Indisponivel
Batom lÌquido,Indisponivel,51.77,5,Filial 10,Indisponivel
Sombra de olhos,Indisponivel,21.45,97,Filial 1,Indisponivel
Blush em pÛ,Indisponivel,98.66,49,Filial 5,Indisponivel
Sombra de olhos,Indisponivel,12.52,81,Filial 9,Indisponivel
M·scara de cÌlios,Indisponivel,2.6,8,Filial 6,Indisponivel
Batom matte,Indisponivel,44.64,98,Filial 10,Indisponivel
Delineador lÌquido,Indisponivel,54.61,78,Filial 3,Indisponivel
Base lÌquida,Indisponivel,66.71,24,Filial 1,Indisponivel
Sombra de olhos,Indisponivel,41.49,90,Filial 4,Indisponivel
Base lÌquida,Indisponivel,44.25,91,Filial 2,Indisponivel
Blush em pÛ,Indisponivel,48.33,17,Filial 6,Indisponivel
PÛ compacto,Indisponivel,55.59,98,Filial 10,Indisponivel
M·scara de cÌlios,Indisponivel,70.17,42,Filial 7,Indisponivel
Corretivo,Indisponivel,6.77,80,Filial 8,Indisponivel
M·scara de cÌlios,Indisponivel,56.98,18,Filial 9,Indisponivel
L·pis de sobrancelha,Indisponivel,83.93,81,Filial 7,Indisponivel
Sombra de olhos,Indisponivel,95.81,2,Filial 8,Indisponivel
PÛ compacto,Indisponivel,79.27,59,Filial 10,Indisponivel
Batom lÌquido,Indisponivel,61.75,44,Filial 2,Indisponivel
Batom matte,Indisponivel,78.5,62,Filial 6,Indisponivel
L·pis de sobrancelha,Indisponivel,62.86,23,Filial 9,Indisponivel
Batom matte,Indisponivel,47.34,9,Filial 5,Indisponivel
PÛ compacto,Indisponivel,23.78,85,Filial 9,Indisponivel
Batom lÌquido,Indisponivel,98.45,20,Filial 4,Indisponivel
Corretivo,Indisponivel,2.96,6,Filial 1,Indisponivel
Batom lÌquido,Indisponivel,42.12,95,Filial 7,Indisponivel
Blush em pÛ,Indisponivel,48.9,99,Filial 5,Indisponivel
Batom matte,Indisponivel,74.54,40,Filial 1,Indisponivel
Batom matte,Indisponivel,25.7,54,Filial 9,Indisponivel
Batom lÌquido,Indisponivel,33.72,37,Filial 2,Indisponivel
Sombra de olhos,Indisponivel,67.74,84,Filial 8,Indisponivel
Blush em pÛ,Indisponivel,99.96,48,Filial 8,Indisponivel
Batom matte,Indisponivel,82.12,100,Filial 2,Indisponivel
L·pis de sobrancelha,Indisponivel,19.87,78,Filial 1,Indisponivel
Batom lÌquido,Indisponivel,58.27,80,Filial 6,Indisponivel
PÛ compacto,Indisponivel,75.16,49,Filial 6,Indisponivel
Corretivo,Indisponivel,37.0,57,Filial 2,Indisponivel
PÛ compacto,Indisponivel,8.52,29,Filial 4,Indisponivel
Blush em pÛ,Indisponivel,89.53,62,Filial 2,Indisponivel
PÛ compacto,Indisponivel,52.6,8,Filial 8,Indisponivel
Corretivo,Indisponivel,45.25,22,Filial 6,Indisponivel
Blush em pÛ,Indisponivel,73.96,58,Filial 6,Indisponivel
Base lÌquida,Indisponivel,70.96,81,Filial 8,Indisponivel
PÛ compacto,Indisponivel,31.58,2,Filial 10,Indisponivel
Batom lÌquido,Indisponivel,44.84,68,Filial 3,Indisponivel
Blush em pÛ,Indisponivel,87.15,52,Filial 6,Indisponivel
Delineador lÌquido,Indisponivel,56.33,50,Filial 10,Indisponivel
PÛ compacto,Indisponivel,58.54,97,Filial 7,Indisponivel
Batom lÌquido,Indisponivel,95.19,62,Filial 10,Indisponivel
Batom matte,Indisponivel,59.1,91,Filial 3,Indisponivel
Delineador lÌquido,Indisponivel,15.03,81,Filial 9,Indisponivel
Base lÌquida,Indisponivel,55.72,63,Filial 8,Indisponivel
PÛ compacto,Indisponivel,86.99,46,Filial 3,Indisponivel
Batom matte,Indisponivel,15.98,77,Filial 8,Indisponivel
M·scara de cÌlios,Indisponivel,47.79,100,Filial 4,Indisponivel
PÛ compacto,Indisponivel,6.86,18,Filial 6,Indisponivel
Sombra de olhos,Indisponivel,26.8,16,Filial 3,Indisponivel
M·scara de cÌlios,Indisponivel,77.79,93,Filial 4,Indisponivel
Blush em pÛ,Indisponivel,77.83,44,Filial 9,Indisponivel
PÛ compacto,Indisponivel,30.29,12,Filial 7,Indisponivel
Batom lÌquido,Indisponivel,77.07,3,Filial 10,Indisponivel
Delineador lÌquido,Indisponivel,70.1,76,Filial 1,Indisponivel
Batom lÌquido,Indisponivel,25.77,50,Filial 4,Indisponivel
Corretivo,Indisponivel,25.73,66,Filial 9,Indisponivel
Corretivo,Indisponivel,75.11,16,Filial 6,Indisponivel
L·pis de sobrancelha,Indisponivel,19.01,23,Filial 6,Indisponivel
Delineador lÌquido,Indisponivel,5.43,7,Filial 9,Indisponivel
M·scara de cÌlios,Indisponivel,16.32,79,Filial 4,Indisponivel
Batom lÌquido,Indisponivel,85.88,22,Filial 7,Indisponivel
Batom lÌquido,Indisponivel,67.69,41,Filial 8,Indisponivel
L·pis de sobrancelha,Indisponivel,40.17,93,Filial 7,Indisponivel
Base lÌquida,Indisponivel,44.57,97,Filial 1,Indisponivel
Batom matte,Indisponivel,78.84,58,Filial 6,Indisponivel
Base lÌquida,Indisponivel,40.7,54,Filial 4,Indisponivel
Batom lÌquido,Indisponivel,30.82,16,Filial 7,Indisponivel
Sombra de olhos,Indisponivel,69.3,63,Filial 4,Indisponivel
Batom matte,Indisponivel,38.61,53,Filial 10,Indisponivel
M·scara de cÌlios,Indisponivel,8.67,27,Filial 3,Indisponivel
Batom matte,Indisponivel,69.51,16,Filial 8,Indisponivel
Base lÌquida,Indisponivel,71.18,92,Filial 6,Indisponivel
L·pis de sobrancelha,Indisponivel,67.5,57,Filial 10,Indisponivel
Base lÌquida,Indisponivel,87.87,78,Filial 2,Indisponivel
M·scara de cÌlios,Indisponivel,48.48,99,Filial 7,Indisponivel
Delineador lÌquido,Indisponivel,35.71,29,Filial 6,Indisponivel
M·scara de cÌlios,Indisponivel,97.54,50,Filial 6,Indisponivel
Base lÌquida,Indisponivel,42.93,6,Filial 3,Indisponivel
Sombra de olhos,Indisponivel,47.37,84,Filial 10,Indisponivel
Delineador lÌquido,Indisponivel,79.11,65,Filial 4,Indisponivel
Batom lÌquido,Indisponivel,46.14,79,Filial 7,Indisponivel
M·scara de cÌlios,Indisponivel,49.24,87,Filial 6,Indisponivel
M·scara de cÌlios,Indisponivel,33.67,67,Filial 9,Indisponivel
L·pis de sobrancelha,Indisponivel,65.0,68,Filial 8,Indisponivel
Sombra de olhos,Indisponivel,69.59,5,Filial 1,Indisponivel
L·pis de sobrancelha,Indisponivel,88.51,36,Filial 7,Indisponivel
Batom lÌquido,Indisponivel,67.07,46,Filial 6,Indisponivel
M·scara de cÌlios,Indisponivel,46.34,82,Filial 2,Indisponivel
Sombra de olhos,Indisponivel,49.09,95,Filial 9,Indisponivel
Blush em pÛ,Indisponivel,56.6,5,Filial 3,Indisponivel
Corretivo,Indisponivel,47.4,93,Filial 6,Indisponivel
Batom lÌquido,Indisponivel,8.72,86,Filial 10,Indisponivel
Batom lÌquido,Indisponivel,31.81,50,Filial 9,Indisponivel
Base lÌquida,Indisponivel,48.47,27,Filial 8,Indisponivel
Batom matte,Indisponivel,73.06,83,Filial 9,Indisponivel
Batom matte,Indisponivel,3.96,16,Filial 1,Indisponivel
Sombra de olhos,Indisponivel,34.02,22,Filial 7,Indisponivel
Batom matte,Indisponivel,51.43,54,Filial 3,Indisponivel
Delineador lÌquido,Indisponivel,67.99,49,Filial 5,Indisponivel
Base lÌquida,Indisponivel,10.83,81,Filial 1,Indisponivel
PÛ compacto,Indisponivel,99.56,93,Filial 5,Indisponivel
M·scara de cÌlios,Indisponivel,99.0,49,Filial 6,Indisponivel
Blush em pÛ,Indisponivel,11.88,80,Filial 3,Indisponivel
Blush em pÛ,Indisponivel,74.43,43,Filial 2,Indisponivel
Corretivo,Indisponivel,22.2,52,Filial 2,Indisponivel
Batom lÌquido,Indisponivel,99.25,68,Filial 7,Indisponivel
M·scara de cÌlios,Indisponivel,53.44,95,Filial 8,Indisponivel
M·scara de cÌlios,Indisponivel,74.01,36,Filial 1,Indisponivel
Corretivo,Indisponivel,46.29,46,Filial 2,Indisponivel
Base lÌquida,Indisponivel,73.61,67,Filial 10,Indisponivel
Base lÌquida,Indisponivel,97.09,60,Filial 6,Indisponivel
Delineador lÌquido,Indisponivel,14.21,95,Filial 2,Indisponivel
Blush em pÛ,Indisponivel,30.63,55,Filial 6,Indisponivel
Sombra de olhos,Indisponivel,63.4,80,Filial 6,Indisponivel
Delineador lÌquido,Indisponivel,93.61,38,Filial 3,Indisponivel
Delineador lÌquido,Indisponivel,20.69,39,Filial 3,Indisponivel
Corretivo,Indisponivel,51.76,95,Filial 9,Indisponivel
Corretivo,Indisponivel,85.93,85,Filial 6,Indisponivel
Sombra de olhos,Indisponivel,81.53,55,Filial 5,Indisponivel
Blush em pÛ,Indisponivel,82.33,16,Filial 4,Indisponivel
M·scara de cÌlios,Indisponivel,58.16,44,Filial 2,Indisponivel
Base lÌquida,Indisponivel,6.89,21,Filial 1,Indisponivel
L·pis de sobrancelha,Indisponivel,71.65,13,Filial 7,Indisponivel
M·scara de cÌlios,Indisponivel,35.07,99,Filial 8,Indisponivel
Sombra de olhos,Indisponivel,75.16,16,Filial 8,Indisponivel
